date,location,total_vaccinations,people_vaccinated,percent_vaccinated
2020-12-02,World,1,1,1.2829067622741437e-10
2020-12-03,World,1,1,1.2829067622741437e-10
2020-12-04,World,2,2,2.5658135245482874e-10
2020-12-05,World,2,2,2.5658135245482874e-10
2020-12-06,World,2,2,2.5658135245482874e-10
2020-12-07,World,4,4,5.131627049096575e-10
2020-12-08,World,4,4,5.131627049096575e-10
2020-12-09,World,5,5,6.414533811370718e-10
2020-12-10,World,6,6,7.697440573644862e-10
2020-12-11,World,7,7,8.980347335919005e-10
2020-12-12,World,7,7,8.980347335919005e-10
2020-12-13,World,7,7,8.980347335919005e-10
2020-12-14,World,12,7,8.980347335919005e-10
2020-12-15,World,1529230,28507,3.6571823072149014e-6
2020-12-16,World,1531530,28507,3.6571823072149014e-6
2020-12-17,World,1535710,28508,3.6573105978911285e-6
2020-12-18,World,1539682,28508,3.6573105978911285e-6
2020-12-19,World,1540463,28569,3.665136329141001e-6
2020-12-20,World,2104874,592136,7.596552785859624e-5
2020-12-21,World,2195795,674929,8.658709781549255e-5
2020-12-22,World,2269651,743048,9.532613038942779e-5
2020-12-23,World,2773854,1238765,1.5892199953685296e-4
2020-12-24,World,2871992,1326594,1.7018964133923054e-4
2020-12-25,World,2915690,1370292,1.757956873090161e-4
2020-12-26,World,3891996,2343579,3.0065933470236754e-4
2020-12-27,World,4063008,2510714,3.221011968736364e-4
2020-12-28,World,4435162,2872067,3.684594176004413e-4
2020-12-29,World,4708166,3131269,4.0171261745993955e-4
2020-12-30,World,5701840,4109814,5.272508172288947e-4
2020-12-31,World,9016826,4375010,5.612729914017001e-4
2021-01-01,World,9129508,4481477,5.749317148276042e-4
2021-01-02,World,11493129,6839872,8.774918041889572e-4
2021-01-03,World,13147559,8460103,0.001085352334823577
2021-01-04,World,13967933,9242100,0.0011856752587613862
2021-01-05,World,15539309,9961844,0.0012780117032320105
2021-01-06,World,16558139,10987071,0.0014095387683486138
2021-01-07,World,17798340,12140134,0.0015574660003514248
2021-01-08,World,19199225,13414970,0.001721015572870477
