date,location,total_vaccinations_per_hundred
2021-02-22,Afghanistan,0
2021-02-28,Afghanistan,0.02
2021-03-16,Afghanistan,0.14
2021-04-07,Afghanistan,0.31
2021-04-22,Afghanistan,0.62
2021-05-11,Afghanistan,1.3
2021-05-20,Afghanistan,1.41
2021-05-24,Afghanistan,1.47
2021-05-26,Afghanistan,1.52
2021-01-10,Albania,0
2021-01-12,Albania,0
2021-01-13,Albania,0.01
2021-01-14,Albania,0.01
2021-01-15,Albania,0.01
2021-01-16,Albania,0.01
2021-01-17,Albania,0.01
2021-01-18,Albania,0.02
2021-01-19,Albania,0.02
2021-01-20,Albania,0.02
2021-01-21,Albania,0.02
2021-02-02,Albania,0.02
2021-02-09,Albania,0.04
2021-02-17,Albania,0.06
2021-02-18,Albania,0.11
2021-02-19,Albania,0.15
2021-02-22,Albania,0.23
2021-02-25,Albania,0.35
2021-03-01,Albania,0.5
2021-03-03,Albania,0.55
2021-03-10,Albania,0.75
2021-03-12,Albania,0.82
2021-03-17,Albania,1.16
2021-03-22,Albania,1.68
2021-03-23,Albania,1.8
2021-03-24,Albania,1.88
2021-03-25,Albania,2.06
2021-03-26,Albania,2.16
2021-03-27,Albania,2.23
2021-03-28,Albania,2.71
2021-03-30,Albania,4.15
2021-03-31,Albania,4.82
2021-04-01,Albania,5.4
2021-04-02,Albania,5.99
2021-04-03,Albania,6.45
2021-04-04,Albania,6.7
2021-04-05,Albania,7.18
2021-04-06,Albania,7.7
2021-04-07,Albania,8.07
2021-04-08,Albania,8.43
2021-04-09,Albania,8.71
2021-04-10,Albania,8.92
2021-04-12,Albania,9.3
2021-04-13,Albania,9.77
2021-04-15,Albania,10.58
2021-04-16,Albania,10.93
2021-04-17,Albania,11.29
2021-04-18,Albania,11.57
2021-04-19,Albania,12.02
2021-04-20,Albania,12.16
2021-04-21,Albania,12.93
2021-04-22,Albania,13.31
2021-04-23,Albania,13.6
2021-04-24,Albania,13.9
2021-04-26,Albania,14.2
2021-04-27,Albania,14.49
2021-04-28,Albania,15.07
2021-04-29,Albania,15.75
2021-04-30,Albania,16.57
2021-05-01,Albania,17.17
2021-05-03,Albania,17.98
2021-05-04,Albania,18.67
2021-05-05,Albania,19.34
2021-05-06,Albania,19.88
2021-05-07,Albania,20.35
2021-05-08,Albania,20.74
2021-05-09,Albania,20.85
2021-05-10,Albania,21.3
2021-05-11,Albania,21.63
2021-05-12,Albania,21.98
2021-05-13,Albania,22.18
2021-05-14,Albania,22.7
2021-05-17,Albania,23.63
2021-05-18,Albania,23.94
2021-05-19,Albania,24.25
2021-05-20,Albania,24.45
2021-05-21,Albania,24.63
2021-05-23,Albania,24.9
2021-05-24,Albania,25.2
2021-05-26,Albania,26.03
2020-12-29,Argentina,0
2020-12-31,Argentina,0.07
2021-01-04,Argentina,0.09
2021-01-08,Argentina,0.24
2021-01-13,Argentina,0.37
2021-01-15,Argentina,0.44
2021-01-20,Argentina,0.55
2021-01-21,Argentina,0.59
2021-01-22,Argentina,0.62
2021-01-23,Argentina,0.64
2021-01-24,Argentina,0.65
2021-01-25,Argentina,0.65
2021-01-26,Argentina,0.68
2021-01-27,Argentina,0.7
2021-01-28,Argentina,0.73
2021-01-29,Argentina,0.76
2021-01-30,Argentina,0.81
2021-02-01,Argentina,0.83
2021-02-03,Argentina,0.88
2021-02-04,Argentina,0.98
2021-02-06,Argentina,1.04
2021-02-07,Argentina,1.11
2021-02-08,Argentina,1.13
2021-02-09,Argentina,1.14
2021-02-10,Argentina,1.18
2021-02-11,Argentina,1.27
2021-02-12,Argentina,1.31
2021-02-13,Argentina,1.34
2021-02-14,Argentina,1.35
2021-02-15,Argentina,1.35
2021-02-16,Argentina,1.35
2021-02-17,Argentina,1.35
2021-02-18,Argentina,1.41
2021-02-19,Argentina,1.48
2021-02-20,Argentina,1.56
2021-02-21,Argentina,1.59
2021-02-22,Argentina,1.6
2021-02-23,Argentina,1.65
2021-02-24,Argentina,1.73
2021-02-25,Argentina,1.84
2021-02-26,Argentina,2
2021-02-27,Argentina,2.18
2021-02-28,Argentina,2.27
2021-03-01,Argentina,2.32
2021-03-02,Argentina,2.49
2021-03-03,Argentina,2.61
2021-03-04,Argentina,2.77
2021-03-05,Argentina,3
2021-03-07,Argentina,3.38
2021-03-08,Argentina,3.42
2021-03-09,Argentina,3.65
2021-03-10,Argentina,3.93
2021-03-11,Argentina,4.25
2021-03-12,Argentina,4.64
2021-03-13,Argentina,5.08
2021-03-14,Argentina,5.27
2021-03-15,Argentina,5.32
2021-03-16,Argentina,5.62
2021-03-17,Argentina,5.9
2021-03-18,Argentina,6.21
2021-03-19,Argentina,6.5
2021-03-20,Argentina,6.78
2021-03-21,Argentina,6.9
2021-03-22,Argentina,6.95
2021-03-23,Argentina,7.17
2021-03-24,Argentina,7.37
2021-03-25,Argentina,7.45
2021-03-26,Argentina,7.69
2021-03-27,Argentina,7.9
2021-03-28,Argentina,8.02
2021-03-29,Argentina,8.07
2021-03-30,Argentina,8.29
2021-03-31,Argentina,8.61
2021-04-01,Argentina,8.9
2021-04-02,Argentina,9.12
2021-04-03,Argentina,9.25
2021-04-04,Argentina,9.37
2021-04-05,Argentina,9.43
2021-04-06,Argentina,9.74
2021-04-07,Argentina,10.12
2021-04-08,Argentina,10.56
2021-04-09,Argentina,10.97
2021-04-10,Argentina,11.51
2021-04-11,Argentina,11.76
2021-04-12,Argentina,11.93
2021-04-13,Argentina,12.33
2021-04-14,Argentina,12.73
2021-04-15,Argentina,13.13
2021-04-16,Argentina,13.48
2021-04-17,Argentina,13.78
2021-04-18,Argentina,13.91
2021-04-19,Argentina,14.02
2021-04-20,Argentina,14.23
2021-04-21,Argentina,14.49
2021-04-22,Argentina,14.81
2021-04-23,Argentina,15.06
2021-04-24,Argentina,15.53
2021-04-25,Argentina,15.79
2021-04-26,Argentina,15.96
2021-04-27,Argentina,16.34
2021-04-28,Argentina,16.72
2021-04-29,Argentina,17.07
2021-04-30,Argentina,17.4
2021-05-01,Argentina,17.64
2021-05-02,Argentina,17.7
2021-05-03,Argentina,17.79
