date,location,total_vaccinations,people_vaccinated,percent_vaccinated
2021-05-26,Afghanistan,590454,479372,0.01231421601038688
2021-05-26,Africa,29569799,22706993,0.016937956856575107
2021-05-26,Albania,748986,479789,0.1667207589130586
2021-05-26,Angola,859979,663049,0.0201741493740634
2021-05-26,Argentina,11331066,8878491,0.19644514574890481
2021-05-26,Aruba,111665,62244,0.582994586291516
2021-05-26,Asia,942556745,257031677,0.05539657955455292
2021-05-26,Australia,3795280,3322398,0.13029072567044528
2021-05-26,Austria,4768046,3448702,0.38291681470953987
2021-05-26,Azerbaijan,2055986,1184780,0.11685171623924037
2021-05-26,Bahrain,1638092,892030,0.5242353737666632
2021-05-26,Belgium,6267216,4483631,0.38686622576623764
2021-05-26,Bhutan,482673,482673,0.6255384830718029
2021-05-26,Bolivia,1511957,1185725,0.10157817649557797
2021-05-26,Brazil,64568609,43239648,0.2034238249128741
2021-05-26,Bulgaria,1303575,777089,0.11183638929285618
2021-05-26,Cambodia,4113384,2362101,0.14128267822224228
2021-05-26,Cameroon,64829,56583,0.002131518491920248
2021-05-26,Canada,21939046,20195328,0.5350867466318896
2021-05-26,Cape Verde,24382,21663,0.03896307114542041
2021-05-26,Cayman Islands,79344,42790,0.651095556908095
2021-05-26,Comoros,80023,43140,0.04960930088144481
2021-05-26,Croatia,1645332,1221109,0.297449277367519
2021-05-26,Curacao,147350,83341,0.507867154174284
2021-05-26,Cyprus,560664,376676,0.43004501660579586
2021-05-26,Czechia,4924949,3640012,0.33990270970667424
2021-05-26,Democratic Republic of Congo,19597,19597,2.1881077255108685e-4
2021-05-26,Denmark,3202613,1984642,0.3426402700319723
2021-05-26,El Salvador,1787527,1115104,0.17191943327072348
2021-05-26,Estonia,664701,452850,0.34137707221574337
2021-05-26,Europe,337327193,226336402,0.3023139140091093
2021-05-26,European Union,232232706,161723649,0.363490044683633
2021-05-26,Faeroe Islands,30719,20450,0.41849994883863706
2021-05-26,Finland,2810669,2375612,0.42875526240461975
2021-05-26,Georgia,138781,121263,0.03039801462708455
2021-05-26,Germany,47358842,34773942,0.41504302524785625
2021-05-26,Greece,5206825,3416341,0.3277676911646642
2021-05-26,Greenland,20606,12282,0.21633904037201437
2021-05-26,Hong Kong,2224185,1289822,0.17204536008327612
2021-05-26,Hungary,8384309,5056262,0.5234036033891112
2021-05-26,India,198425615,156189641,0.11318053964009687
2021-05-26,Isle of Man,86707,61282,0.7206933860193809
2021-05-26,Israel,10571337,5447224,0.6293337412415931
2021-05-26,Italy,32368381,21960738,0.3632165736040928
2021-05-26,Japan,10595100,7607158,0.06014682985508655
2021-05-26,Jordan,1750000,1300000,0.12741175755698736
2021-05-26,Kazakhstan,3009654,2035781,0.10842055531888525
2021-05-26,Kenya,960379,960379,0.017860438561091138
2021-05-26,Laos,750783,614566,0.08446997040501097
2021-05-26,Latvia,667827,466557,0.2473526165278162
2021-05-26,Lebanon,715286,479863,0.07030504398103449
2021-05-26,Liberia,55690,55690,0.011010983896361907
2021-05-26,Lithuania,1526579,972857,0.3573670118293746
2021-05-26,Macao,157263,98911,0.15232496896858666
2021-05-26,Madagascar,21912,21912,7.913034908538396e-4
2021-05-26,Malawi,347638,347638,0.01817244212022454
2021-05-26,Malta,498726,311903,0.7063996611850821
2021-05-26,Mongolia,2787884,1843635,0.562376688836748
2021-05-26,Montenegro,180839,127177,0.20249115533179846
2021-05-26,Nepal,2741964,2113080,0.07252270049622457
2021-05-26,Netherlands,8542731,6192212,0.3613806767053365
2021-05-26,Niger,159525,152582,0.006303312860159504
2021-05-26,North America,349800449,212518690,0.3589404950346225
2021-05-26,North Macedonia,267167,224336,0.10767886799335695
2021-05-26,Norway,2513951,1621203,0.2990464177765907
2021-05-26,Oceania,4733277,3981798,0.09329902573021029
2021-05-26,Palestine,489698,293238,0.05748168743737033
2021-05-26,Poland,18785240,13145222,0.3473289612106555
2021-05-26,Portugal,5317986,3673808,0.36029357320946853
2021-05-26,Qatar,2403165,1381456,0.47949574115082644
2021-05-26,Romania,7526513,4208724,0.21877500626114935
2021-05-26,Russia,27611859,16159658,0.11073229722438416
2021-05-26,Saint Lucia,45739,27588,0.15023770755163945
2021-05-26,San Marino,42448,21512,0.633861747893217
2021-05-26,Sao Tome and Principe,14509,12374,0.05646077541168365
2021-05-26,Senegal,513332,444007,0.026517490218843486
2021-05-26,Slovakia,2435676,1653862,0.30292493483548283
2021-05-26,Slovenia,1007111,644506,0.31001783608121863
2021-05-26,South America,112836268,75077196,0.17429017489590462
2021-05-26,South Korea,6043663,4030744,0.07861923604282908
2021-05-26,South Sudan,8606,8606,7.68823329562472e-4
2021-05-26,Sri Lanka,1786343,1443066,0.06739126475429932
2021-05-26,Suriname,78542,66623,0.11356825550513608
2021-05-26,Sweden,4821805,3588871,0.3553594467718954
2021-05-26,Thailand,3208882,2214721,0.03172953722134411
2021-05-26,Togo,304630,276000,0.03333841865009119
2021-05-26,Trinidad and Tobago,76765,75586,0.05400963636064826
2021-05-26,Turkey,28511333,16320454,0.1935100135741364
2021-05-26,Ukraine,1099713,992189,0.022687027657512814
2021-05-26,United States,289212304,165074907,0.4987117429305633
2021-05-26,Uruguay,2667651,1677887,0.4830221258032079
2021-05-26,Vietnam,1034867,1005906,0.010334093316316306
2021-05-26,World,1776823731,797652756,0.10233141146190075
2021-05-26,Zambia,145198,139912,0.007610549111409971
